BTS,Licence,Master,ingenieur
INDUSTRIEL,INDUSTRIEL,INDUSTRIEL,INDUSTRIEL
Installation Sanitaire (IS),Instrumentation et Maintenance des appareils Biomédicaux,Génie Electrique et Informatique Industrielle,genie informatique
Chaudronnerie et Soudure / Construction Métallique,Automatique et Informatique Industrielle,Génie des Réseaux et Télécommunications,
Fabrication Mécanique,Electronique,Système d'Information et Genie Logiciel,
Informatique Industrielle et Automatique,Electrotechnique,Génie Civil,
Maintenance des Systèmes Informatiques (MSI) • Maintenance et Après Vente Automobile (MAVA),Maintenance des Systèmes Industriele,Génie Energétique et Environnement,
Génie Bois: MEB Industrie Bois (IB),Maintenance et Après Vente Automobile (MAVA),Génie Industriel et Maintenance,
Froid et Climatisation. Mécatronique,Génie Bois,Qualité Hygiène Sécurité et Industrielle,
Electrotechnique,Génie Civil,Robotique Industrielle,
Géomètre Topographe,Génie Energétique et Industriel,COMMERCE ET GESTION,
Génie Civil - Bâtiment Travaux public,Génie Logiciel,Gestion Administrative des Ressources Humaines,
Energie Renouvelable Génie Logiciel,Génie Télécommunications et Réseaux,Marketing,
Télécommunication,Constructions Industrielles,Finance,
Réseaux et Sécurité Informatique,Mécatronique,Comptabilité et Fiscalité,
Gestion des Systèmes d'Information,Qualité Hygiène Sécurité et Environnement,Management de Logistique et des Opérations de Transport,
Infographie et Web Design,Géomètre Topographe,"MBA en Commerce International (ISUGA) 3 ans à l'IUC, 02 ans à Quimper (France)",
E-Commerce et Marketing Numérique,Management des Stystèmes d'Informations,Juriste Conseil de l'Entreprise,
Maintenance Industrielle et Productique,Infographie et E-marketing,SANTE,
Contrôle Instrumentation et Régulation,COMMERCE ET GESTION,,
Génie Chimique des Procédés.,Assurance. Gestion de la Qualité,,
Maintenance des Appareils Biomédicaux,Banque - Assurance,,
Hygiène Sécurité et Environnement,Banque: Conseiller et Gestionnaire de la Clientèle,,
COMMERCE ET GESTION,Comptabilité Contrôle et Audit,,
Assurance (ASS),Comptabilité et Gestion,,
Droit Domanial,Communication,,
Banque (BF),Fiscalité,,
Commerce International (CI),Gestion des Ressources Humaines,,
Communication des Organisations (CO),Informatique de Gestion,,
Comptabilité et Gestion des Entreprises (CGE),Juriste d'Affaires et de l'Entreprise,,
Douane et Transit (DoT),Logistique et Transport,,
Droit des Affaires et de l'Entreprise (DAE),Marketing Manager Operationnel,,
Gestion de la Qualité (GQ),Marketing Commerce Vente,,
Gestion Fiscale (GF),Management des Opérations du Commerce International,,
Journalisme (Jo),Publicité.,,
Logistique et Transport (GLT),Sciences et Tech. Administratives,,
Marketing Commerce et Vente (MCV),SANTE,,
Ressources Humaines (RH),Sciences Infirmières,,
Administration des Collectivités Territoriales,Kinésithérapie,,
Assistant Manager,Sage-Femme,,
SANTE,Technique de Labo. et d'Analyses Médicales,,
Sciences Infirmières,Radiologie et Imagerie Médicale,,
Kinésithérapie,Sciences Pharmaceutiques,,
Sage-Femme,,,
Technique de Labo. et d'Analyses Médicales,,,
Radiologie et Imagerie Médicale,,,
Sciences Pharmaceutiques,,,
